EXERCÍCIO,DA,MULTIPLICAÇÃO,,,,
"num1, num2",i = 0,i < num2,"primeiroNum = add(primeiroNum, num1)",i++,console.log(primeiroNum),return primeiroNum
"4, 6",0,true,0 + 4,0 + 1,4,--
"4, 6",1,true,4 + 4,1 + 1,8,--
"4, 6",2,true,8 + 4,2 + 1,12,--
"4, 6",3,true,12 + 4,3 + 1,16,--
"4, 6",4,true,16 + 4,4 + 1,20,--
"4, 6",5,true,20 + 4,5 + 1,24,--
"4, 6",6,false,--,--,--,24
,,,,,,
EXERCÍCIO,DA,POTENCIAÇÃO,,,,
"x, n",i = 0,i < n,"number = multiply(number, x)",i++,console.log(number),return number
"3, 4",0,true,1 * 3,0 + 1,3,--
"3, 4",1,true,3 * 3,1 + 1,9,--
"3, 4",2,true,9 * 3,2 + 1,27,--
"3, 4",3,true,27 * 3,3 + 1,81,--
"3, 4",4,false,--,--,--,81
,,,,,,
EXERCÍCIO,DA,FATORAÇÃO,,,,
numX,i = 1,i < numX,"number = multiply(number, i)",i++,console.log(number),return number
5,1,true,5 * 1,1 + 1,5,--
5,2,true,5 * 2,2 + 1,10,--
5,3,true,10 * 3,3 + 1,30,--
5,4,true,30 * 4,4 + 1,120,--
5,5,false,--,--,--,120